Start Time, Wed Dec 3 16:52:22 GMT-0700 2025
Energy calibration,  Offset: -0.13771282136440277, Slope: 0.09197762608528137, Quadratic: 0
Live Time (s), 7.07
Real Time (s), 7.4
Elapsed Computational, 2848
Spectrum
Channel, Energy (keV), Counts
791, 72.61658941209316, 2
792, 72.70856703817844, 4
793, 72.80054466426373, 5
794, 72.892522290349, 2
795, 72.98449991643429, 4
796, 73.07647754251957, 3
797, 73.16845516860485, 2
798, 73.26043279469013, 2
799, 73.35241042077541, 8
800, 73.4443880468607, 1
801, 73.53636567294598, 4
802, 73.62834329903126, 3
803, 73.72032092511654, 7
804, 73.81229855120182, 1
805, 73.9042761772871, 4
806, 73.99625380337238, 7
807, 74.08823142945766, 4
808, 74.18020905554295, 2
809, 74.27218668162823, 2
810, 74.36416430771351, 3
811, 74.45614193379879, 4
812, 74.54811955988407, 9
813, 74.64009718596935, 1
814, 74.73207481205463, 1
815, 74.82405243813992, 2
816, 74.9160300642252, 6
817, 75.00800769031048, 5
818, 75.09998531639576, 2
819, 75.19196294248104, 4
820, 75.28394056856632, 5
821, 75.3759181946516, 0
822, 75.46789582073689, 6
823, 75.55987344682217, 1
824, 75.65185107290745, 1
825, 75.74382869899273, 3
826, 75.83580632507801, 3
827, 75.92778395116329, 2
828, 76.01976157724857, 2
829, 76.11173920333385, 2
830, 76.20371682941914, 3
831, 76.29569445550442, 3
832, 76.3876720815897, 3
833, 76.47964970767498, 1
834, 76.57162733376026, 0
835, 76.66360495984554, 4
836, 76.75558258593082, 2
837, 76.8475602120161, 3
838, 76.93953783810139, 4
839, 77.03151546418667, 7
840, 77.12349309027195, 5
841, 77.21547071635723, 6
842, 77.30744834244251, 2
843, 77.3994259685278, 4
844, 77.49140359461308, 1
845, 77.58338122069836, 2
846, 77.67535884678364, 3
847, 77.76733647286892, 1
848, 77.8593140989542, 4
849, 77.95129172503948, 0
850, 78.04326935112476, 4
851, 78.13524697721004, 1
852, 78.22722460329533, 5
853, 78.31920222938061, 6
854, 78.41117985546589, 5
855, 78.50315748155117, 2
856, 78.59513510763645, 5
857, 78.68711273372173, 2
858, 78.77909035980701, 5
859, 78.8710679858923, 11
860, 78.96304561197758, 4
861, 79.05502323806286, 2
862, 79.14700086414814, 4
863, 79.23897849023342, 3
864, 79.3309561163187, 5
865, 79.42293374240398, 4
866, 79.51491136848927, 6
867, 79.60688899457455, 2
868, 79.69886662065983, 6
869, 79.79084424674511, 2
870, 79.88282187283039, 3
871, 79.97479949891567, 7
872, 80.06677712500095, 2
873, 80.15875475108624, 4
874, 80.25073237717152, 3
875, 80.3427100032568, 4
876, 80.43468762934208, 1
877, 80.52666525542736, 2
878, 80.61864288151264, 2
879, 80.71062050759792, 2
880, 80.8025981336832, 7
881, 80.89457575976849, 4
882, 80.98655338585377, 5
883, 81.07853101193905, 3
884, 81.17050863802433, 7
885, 81.26248626410961, 5
886, 81.35446389019489, 2
887, 81.44644151628017, 6
888, 81.53841914236546, 2
889, 81.63039676845074, 1
890, 81.72237439453602, 3
891, 81.8143520206213, 5
892, 81.90632964670658, 2
893, 81.99830727279186, 6
894, 82.09028489887714, 3
895, 82.18226252496243, 0
896, 82.2742401510477, 2
897, 82.36621777713299, 8
898, 82.45819540321827, 2
899, 82.55017302930355, 3
900, 82.64215065538883, 2
901, 82.73412828147411, 1
902, 82.8261059075594, 2
903, 82.91808353364468, 5
904, 83.01006115972996, 1
905, 83.10203878581524, 3
906, 83.19401641190052, 2
907, 83.2859940379858, 4
908, 83.37797166407108, 3
909, 83.46994929015636, 3
910, 83.56192691624165, 2
911, 83.65390454232693, 2
912, 83.74588216841221, 4
913, 83.83785979449749, 2
914, 83.92983742058277, 4
915, 84.02181504666805, 3
916, 84.11379267275333, 6
917, 84.20577029883862, 2
918, 84.2977479249239, 3
919, 84.38972555100918, 5
920, 84.48170317709446, 3
921, 84.57368080317974, 4
922, 84.66565842926502, 3
923, 84.7576360553503, 1
924, 84.84961368143559, 5
925, 84.94159130752087, 3
926, 85.03356893360615, 1
927, 85.12554655969143, 1
928, 85.21752418577671, 4
929, 85.30950181186199, 4
930, 85.40147943794727, 6
931, 85.49345706403255, 4
932, 85.58543469011784, 6
933, 85.67741231620312, 4
934, 85.7693899422884, 0
935, 85.86136756837368, 4
936, 85.95334519445896, 4
937, 86.04532282054424, 3
938, 86.13730044662952, 2
939, 86.2292780727148, 3
940, 86.32125569880009, 1
